,Date,Steps,Distancia,Calories
560,2022-06-15,0,0.0,1294
561,2022-06-16,0,0.0,1294
562,2022-06-17,0,0.0,1294
563,2022-06-18,0,0.0,1293
564,2022-06-19,6257,4.4025099999999995,1753
565,2022-06-20,0,0.0,1284
566,2022-06-21,2813,1.75172,1600
567,2022-06-22,0,0.0,1279
568,2022-06-23,0,0.0,1278
569,2022-06-24,0,0.0,1278
570,2022-06-25,10184,5.558,2093
571,2022-06-26,6278,4.26461,1862
572,2022-06-27,2894,1.79253,1532
573,2022-06-28,2141,0.82734,1577
574,2022-06-29,5596,3.6746,1608
575,2022-06-30,3517,2.21982,1524
576,2022-07-01,0,0.0,1272
577,2022-07-02,10061,6.46385,1811
578,2022-07-03,6934,3.64458,1805
579,2022-07-04,3183,0.77149,1560
580,2022-07-05,0,0.0,1272
581,2022-07-06,4140,2.58778,1568
582,2022-07-07,6069,3.8727,1623
583,2022-07-08,1998,0.69183,1567
584,2022-07-09,5847,3.71028,1709
585,2022-07-10,15005,9.93934,2135
586,2022-07-11,0,0.0,1270
587,2022-07-12,0,0.0,1270
588,2022-07-13,0,0.0,1270
589,2022-07-14,2466,0.6652399999999999,1591
590,2022-07-15,5137,3.17283,1704
591,2022-07-16,8706,5.888809999999999,1925
592,2022-07-17,2616,0.81209,1557
593,2022-07-18,3632,2.36068,1593
594,2022-07-19,5601,3.7849199999999996,1649
595,2022-07-20,0,0.0,1267
596,2022-07-21,2466,0.92657,1564
597,2022-07-22,3937,2.44002,1530
598,2022-07-23,9191,4.78391,1962
599,2022-07-24,5302,3.43003,1642
600,2022-07-25,3076,0.5706,1586
601,2022-07-26,4820,3.00303,1605
602,2022-07-27,2451,0.58163,1556
603,2022-07-28,0,0.0,1264
604,2022-07-29,5668,3.7834,1600
605,2022-07-30,20571,11.924439999999999,2382
606,2022-07-31,5022,3.23338,1623
607,2022-08-01,6724,4.3709999999999996,1722
608,2022-08-02,0,0.0,1264
609,2022-08-03,2987,0.6868,1571
610,2022-08-04,3872,2.5123599999999997,1541
611,2022-08-05,0,0.0,1264
612,2022-08-06,8290,3.9010599999999998,2045
613,2022-08-07,4670,1.19827,1785
614,2022-08-08,0,0.0,1267
615,2022-08-09,8382,5.4765999999999995,1914
616,2022-08-10,8759,3.82489,2053
617,2022-08-11,4705,3.0641,1651
618,2022-08-12,4216,0.64061,1654
619,2022-08-13,5527,1.4588999999999999,1807
620,2022-08-14,4974,1.47735,1730
621,2022-08-15,10,0.00647,1260
622,2022-08-16,3933,0.91553,1636
623,2022-08-17,4177,2.72409,1533
624,2022-08-18,5317,3.41702,1661
625,2022-08-19,2952,0.79948,1475
626,2022-08-20,6115,2.4392799999999997,1831
627,2022-08-21,4989,1.2244199999999998,1658
628,2022-08-22,0,0.0,1259
629,2022-08-23,6356,4.3077499999999995,1711
630,2022-08-24,4991,3.28709,1589
631,2022-08-25,3981,0.63576,1569
632,2022-08-26,2914,1.30832,1540
633,2022-08-27,17842,10.697239999999999,2231
634,2022-08-28,5328,1.66361,1735
635,2022-08-29,0,0.0,1255
636,2022-08-30,6115,4.3694,1640
637,2022-08-31,3398,0.68792,1507
638,2022-09-01,3774,2.4926299999999997,1583
639,2022-09-02,4643,0.5654,1621
640,2022-09-03,7308,4.67749,1757
641,2022-09-04,8081,5.23464,1687
642,2022-09-05,4874,1.31828,1652
643,2022-09-06,0,0.0,1259
644,2022-09-07,0,0.0,1259
645,2022-09-08,0,0.0,1259
646,2022-09-09,0,0.0,1259
647,2022-09-10,7475,2.7206799999999998,1957
648,2022-09-11,5342,2.81338,1737
649,2022-09-12,0,0.0,1260
650,2022-09-13,3703,0.66138,1597
651,2022-09-14,0,0.0,1260
652,2022-09-15,3422,2.31688,1533
653,2022-09-16,0,0.0,1260
654,2022-09-17,7257,2.1795299999999997,1932
655,2022-09-18,0,0.0,1260
656,2022-09-19,0,0.0,1260
657,2022-09-20,0,0.0,1260
658,2022-09-21,4,0.00259,1261
659,2022-09-22,0,0.0,1260
660,2022-09-23,0,0.0,1260
661,2022-09-24,8148,5.30533,1703
662,2022-09-25,0,0.0,1260
663,2022-09-26,3741,0.67763,1585
664,2022-09-27,3492,2.35064,1563
665,2022-09-28,0,0.0,1260
666,2022-09-29,0,0.0,1260
667,2022-09-30,0,0.0,1260
668,2022-10-01,0,0.0,1260
669,2022-10-02,3702,2.306,1655
670,2022-10-03,0,0.0,1260
671,2022-10-04,0,0.0,1260
672,2022-10-05,0,0.0,1260
673,2022-10-06,0,0.0,1260
674,2022-10-07,0,0.0,1260
675,2022-10-08,0,0.0,1260
676,2022-10-09,6049,1.83731,1985
677,2022-10-10,21341,14.567649999999999,2322
678,2022-10-11,5651,3.66389,1724
679,2022-10-12,5151,3.3288499999999996,1632
680,2022-10-13,6389,4.11135,1756
681,2022-10-14,8225,5.25967,1788
682,2022-10-15,0,0.0,1261
683,2022-10-16,0,0.0,1260
684,2022-10-17,5572,3.5349899999999996,1691
685,2022-10-18,7518,4.86278,1787
686,2022-10-19,0,0.0,1260
687,2022-10-20,0,0.0,1260
688,2022-10-21,17,0.01102,1262
