Case Number,Species,Type of Injury,Fatal:Yes or No,Unprovoked attack,Sex,Age,Activity,Country,Area,Year,Date,Time,Type,Investigation
2014.10.14,Bull Shark,lacerations to left foot,N,Y,Female,7,Standing In Inner Tube,USA,South Carolina,2014,14-Oct-14,NA,Unprovoked,"TheIndyChannel, 10/16,2014"
2014.10.22,Tiger Shark,"no injury, paddleboard bitten",N,Y,Female,NA,Stand-Up Paddleboarding,USA,Hawaii,2014,22-Oct-14,10h00,Unprovoked,"Hawaii News Now, 10/22/2014"
2014.10.31,Tiger Shark,lacerations to fingers,N,Y,Female,34,Surfing,USA,Hawaii,2014,31-Oct-14,11h00,Unprovoked,"L. Kubota, Hawaii News Now, 10/31/2014"
2014.11.17,White Shark,"shark bumped boat, no injury to occupants",N,Y,NA,NA,Na,USA,California,2014,Reported 17-Nov-2014,NA,Boat,"Inquisitr, 11/17/2014"
2014.11.19,White Shark,"shark chasing fish bumped boat, no injury to occupants",N,Y,Male,NA,Fishing,Australia,Western Australia,2014,19-Nov-14,NA,Boat,"The West Australian, 11/20/2014"
2014.12.28.b,White Shark,injury to hip/leg,N,Y,Male,50,Surfing,USA,California,2014,28-Dec-14,11h30,Unprovoked,"R. Collier, GSAF"
2014.12.29.a,White Shark,fatal,Y,Y,Male,17,Spearfishing,Australia,Western Australia,2014,29-Dec-14,Morning,Unprovoked,"The West Australian, 12/29/2014"
2015.01.03,Raggedtooth Shark,"lacerations to lower left leg, puncture wounds to sole of left foot",N,Y,Male,15,Surfing,South Africa,Eastern Cape Province,2015,03-Jan-15,08h00,Unprovoked,"Dispatch Online, 1/7/2015"
2015.01.06,White Shark,severe bite to right flank,N,Y,Female,34,Snorkeling,Bahamas,Abaco Islands,2015,06-Jan-15,16h00,Unprovoked,"Britt Martin; Local10, 1/7/2015"
2015.01.19.b,White Shark,no injury but shark bit trolling motor and rammed boat,N,Y,Male,NA,Fishing,USA,Florida,2015,19-Jan-15,NA,Boat,"The Panhandle, 1/20/2015"
