Case Number,Species,Type of Injury,Fatal:Yes or No,Unprovoked attack,Sex,Age,Activity,Country,Area,Year,Date,Time,Type,Investigation
2004.04.22,White Shark,"no injury to occupants, boat scratched by shark",N,Y,NA,NA,Fishing,New Zealand,North Island,2004,22-Apr-04,NA,Boat,"T. Peake, GSAF"
2004.05.18,Caribbean Reef Shark,left forearm bitten provoked incident,N,N,Male,63,Free Diving And Spearfishing,Bahamas,Abaco Islands,2004,18-May-04,15h00,Provoked,"W. Leander, M. Levine, GSAF"
2004.05.23.b,Bull Shark,"left hand, foot severed and  left calf and arm bitten",N,Y,Male,17,Swimming,Brazil,Pernambuco,2004,23-May-04,14h30,Unprovoked,"P. M. Lopes, GSAF; JC, 5/24/2004"
2004.06.02,White Shark,"fatal, leg severed ",Y,Y,Male,21,"Swimming, Poaching Perlemoen",South Africa,Western Cape Province,2004,02-Jun-04,15h00,Unprovoked,"J. Smetherham & B. Ndenze, Cape Times"
2004.06.10.b,Bronze Whaler Shark,ankle and foot lacerated,N,Y,Male,17,Body Boarding,Australia,Western Australia,2004,10-Jun-04,Late afternoon,Unprovoked,"T. Peake, GSAF"
2004.06.26.b,White Shark,"no injury, shark struck his board",N,Y,Male,45,Surfing,USA,California,2004,26-Jun-04,09h00,Unprovoked,R. Collier; GSAF
2004.07.19.R,White Shark,"no injury to occupants; shark mouthed motor, severed anchor line",N,Y,NA,NA,Fishing,Australia,Western Australia,2004," 19-Jul-2004 Reported to have happened  ""on the weekend""",NA,Boat,"Channel 9; Northern Territory News, 7/20/2004, p.10 "
2004.07.25,Bull Shark,right forearm nearly severed and bites above and below the right knee,N,Y,Male,11,Wading / Fishing And Carrying A Bag Of Fish,USA,Texas,2004,25-Jul-04,19h30,Unprovoked,KRISTV.com
2004.07.30,White Shark,thigh and calf bitten,N,Y,Male,NA,Diving And Fishing With Net,Russia,Kuril Islands In The Pacific,2004,30-Jul-04,NA,Unprovoked,"M. Gozum & J. Eager, scubaradio.com"
2004.08.00,White Shark,no injury to occupants; boat damaged,N,Y,NA,NA,Fishing,South Africa,Kwazulu-Natal,2004,Aug-04,NA,Boat,"J. Eager, scubaradio.com"
2004.08.15,White Shark,fatal,Y,Y,Male,50,Diving,USA,California,2004,15-Aug-04,16h00,Unprovoked,"R. Collier & L. Levine, GSAF"
2004.08.20,White Shark,foot bitten,N,Y,Male,NA,Surfing,USA,California,2004,20-Aug-04,17h30,Unprovoked,"R. Collier, GSAF"
2004.08.21,Tiger Shark,calf bitten and both hands injured,N,Y,Male,24,Bathing,Brazil,Pernambuco,2004,21-Aug-04,13h00,Unprovoked,"P. M. Lopes, GSAF, 8/22/2004"
2004.09.20,White Shark,leg bitten,N,Y,Male,26,Surfing,USA,Oregon,2004,20-Sep-04,09h00,Unprovoked,"S. Mead, R. Collier, J. Eager, B. Middleton"
2004.09.25,Tiger Shark,"no injury to occupants, boat damaged",N,Y,NA,NA,Spearfishing/ Filming,Australia,Queensland,2004,25-Sep-04,12h00,Boat,"R. Collier, GSAF"
2004.10.06,Tiger Shark,"leg severely bitten, surgically amputated",N,Y,Male,15,Body Boarding,Reunion,Conservatória District,2004,06-Oct-04,16h15,Unprovoked,Federation Francaise de Surf
2004.10.09.a,Raggedtooth Shark,puncture wounds on right foot,N,Y,Male,34,Surfing,South Africa,Eastern Cape Province,2004,09-Oct-04,Morning,Unprovoked,"Sunday Argus, 10/10/2004; W. Steenkamp, Cape Times 10/9/2004"
2004.10.09.b,Tiger Shark,left shoulder bitten,N,Y,Male,34,Spearfishing,USA,Hawaii,2004,09-Oct-04,12h40,Unprovoked,"The Maui News, 10/10/2004 "
2004.10.10,White Shark,lower leg bitten,N,Y,Male,NA,Surfing,USA,California,2004,10-Oct-04,09h30,Unprovoked,"R. Collier, GSAF"
2004.10.21,Bronze Whaler Shark,right foot lacerated,N,Y,Male,59,Surfing,Australia,New South Wales,2004,21-Oct-04,Afternoon,Unprovoked,"The Border Mail, 10/23/2004"
2004.10.30.a,White Shark,right ankle and foot lacerated,N,Y,Male,52,Chumming For White Sharks,South Africa,Western Cape Province,2004,30-Oct-04,Morning,Unprovoked,"J.P. Botha, GSAF"
2004.10.31,Bull Shark,left forearm bitten,N,Y,Male,40,Diving,Cuba,Camaguey Province,2004,31-Oct-04,14h00,Unprovoked,"E. Ritter, GSAF"
2004.11.11.b,White Shark,"lacerations to hand, knee and thigh ",N,Y,NA,38,Surfing,USA,California,2004,11-Nov-04,13h30,Unprovoked,"R. Collier, GSAF                "
2004.11.15,White Shark,fatal,Y,Y,Female,77,Swimming,South Africa,Western Cape Province,2004,15-Nov-04,07h00,Unprovoked,"J.P. Botha, GSAF"
2004.11.26,Raggedtooth Shark,lacerations on lower leg and foot,N,Y,Male,16,Playing,South Africa,Eastern Cape Province,2004,26-Nov-04,NA,Unprovoked,J. Eager
2004.11.27,Raggedtooth Shark,3 lacerations on foot,N,Y,Male,20,Surfing,South Africa,Eastern Cape Province,2004,27-Nov-04,18h00,Unprovoked,J. Eager
2004.12.11,Bull Shark,"fatal, leg bitten",Y,Y,Male,38,Spearfishing,Australia,Queensland,2004,11-Dec-04,13h00,Unprovoked,"Weekend Australian, 2/17/2005, et al."
2004.12.16,White Shark,fatal,Y,Y,Male,18,Scurfing (Surfboard Being  Towed Behind A Boat),Australia,South Australia,2004,16-Dec-04,15h15,Unprovoked,"P. Kemp & T. Peake, GSAF"
2005.01.08,White Shark,"no injury, kayak bumped repeatedly",N,Y,Male,39,Fishing From A Kayak,New Zealand,North Island,2005,08-Jan-05,12h00,Unprovoked,"R. Collier & R.D. Weeks, GSAF                "
2005.01.14,Bronze Whaler Shark,"no injury to occupants, one of the boat's flotation tanks holed provoked incident",N,N,NA,NA,Attempting To Drive Shark Away From Sailing Regatta,Australia,Victoria,2005,14-Jan-05,14h00,Provoked,Herald Sun News
2005.02.13,Caribbean Reef Shark,hand bitten,N,Y,Male,NA,Spearfishing,USA,Florida,2005,13-Feb-05,NA,Unprovoked,J. Herrera
2005.02.16,Tiger Shark,"no injury, knocked off board, shark bit board",N,Y,Male,NA,Surfing,USA,Hawaii,2005,16-Feb-05,14h30,Unprovoked," R. Collier, GSAF;  T. Winters, Honolulu Advertiser, 2/17/2005 "
2005.02.22,Nurse Shark,speared shark bit his chest provoked incident,N,N,Male,NA,Spearfishing,USA,Florida,2005,22-Feb-05,NA,Provoked,http://www.foldabikes.com/CurrentEvents/Story/Florida.html
2005.02.26,Bull Shark,finger bitten,N,Y,Male,18,Swimming,Australia,Queensland,2005,26-Feb-05,NA,Unprovoked,Queensland Times
2005.03.09,Bronze Whaler Shark,"no injury, netted shark dragged them 350 metres out to sea provoked incident",N,N,Male,NA,Fishing,New Zealand,North Island,2005,09-Mar-05,14h00,Provoked,"R.D. Weeks, GSAF"
2005.03.12,Tiger Shark,2 punctures on forearm as captive shark collided with diver provoked incident,N,N,Male,45,Diving In Aquarium Display Tank,USA,New Mexico,2005,12-Mar-05,15h30,Provoked,"H. Casman; T. Dukart, KOBTV"
2005.03.19,White Shark,fatal,Y,Y,Male,26,Snorkeling,Australia,Western Australia,2005,19-Mar-05,14h00,Unprovoked,"T. Peake, GSAF"
2005.04.06,Hammerhead Shark,left calf injured,N,Y,Female,NA,Na,USA,Florida,2005,06-Apr-05,NA,Unprovoked,WJXT News4Jax.com
2005.04.13,Blacktip Shark,right lower leg bitten,N,Y,Female,70,Wading,USA,Florida,2005,13-Apr-05,NA,Unprovoked,Herald Tribune.com
2005.04.16.a,Bronze Whaler Shark,"no injury, board bitten",N,Y,Male,40,Surfing,Australia,New South Wales,2005,16-Apr-05,06h10,Unprovoked,The Sun; Illwarra Mercury; Yahoo News
2005.05.02,Tiger Shark,"no injury, board damaged",N,Y,Male,47,Surfing,USA,Hawaii,2005,02-May-05,10h30,Unprovoked,"T. Hurley, Honolulu Advertiser; L. Fujimoto, Maui News, 5/3/2005 "
2005.05.14,Tiger Shark,"no injury, shark bit kayak",N,Y,NA,NA,Kayaking,USA,Hawaii,2005,14-May-05,11h00,Unprovoked,Hawaii Department of Land and Natural Resources
2005.05.15,Blacktip Shark,severe injury to lower leg,N,Y,Male,NA,Spearfishing,Australia,Queensland,2005,15-May-05,NA,Unprovoked,"J. Anderson, Townsville Bulletin, 5/21/2005 "
2005.05.25,Raggedtooth Shark,left buttock  and legs lacerated ,N,Y,Male,32,Surfing,South Africa,Eastern Cape Province,2005,25-May-05,11h00,Unprovoked,"C. Prince, East London Daily Dispatch, 5/26/2005;  SABC News"
2005.06.04,White Shark,fatal,Y,Y,Male,22,Spearfishing (Free Diving),South Africa,Western Cape Province,2005,04-Jun-05,15h45,Unprovoked,News24.com; SABC; H. Steele
2005.06.13,White Shark,knee bitten,N,Y,Female,38,Diving,South Korea,South Ch'Ungch'Ong Province,2005,13-Jun-05,NA,Unprovoked,"Korea Times, 6/13/2005 "
2005.06.25,Bull Shark,"fatal, leg bitten",Y,Y,Female,14,Swimming With Boogie Board,USA,Florida,2005,25-Jun-05,11h15,Unprovoked,"E. Ritter, GSAF"
2005.06.27,Bull Shark,"leg severely bitten, surgically amputated",N,Y,Male,16,Fishing,USA,Florida,2005,27-Jun-05,11h30,Unprovoked,"E. Ritter, GSAF"
2005.08.21,Blacktip Shark,bitten underneath left arm,N,Y,Male,8,Swimming,USA,South Carolina,2005,21-Aug-05,Morning,Unprovoked,"Clay Creswell, GSAF"
2005.08.24.a,White Shark,lower right leg lacerated,N,Y,Male,37,Surfing,USA,California,2005,24-Aug-05,11h00,Unprovoked,"R. Collier, GSAF                "
2005.08.24.b,White Shark,fatal,Y,Y,Male,23,Scuba Diving,Australia,South Australia,2005,24-Aug-05,16h10,Unprovoked,"Adelaide Advertiser, 8/26/2005"
2005.09.04.a,White Shark,lacerations to right arm and thigh,N,Y,Male,40,Surfing,Australia,South Australia,2005,04-Sep-05,15h00,Unprovoked,"C.Jenkin, Courier-Mail, 9/5/2005"
2005.09.05,Bull Shark,calf severely lacerated,N,Y,Female,18,Wading,USA,North Carolina,2005,05-Sep-05,15h20,Unprovoked,"Clay Creswell, GSAF"
2005.09.23,Bronze Whaler Shark, no injury,N,Y,Male,44,Surfing,Australia,Western Australia,2005,23-Sep-05,Morning,Unprovoked,"T. Peake, GSAF"
2005.09.24,White Shark,lacerations to legs,N,Y,Male,26,Surfing,Australia,South Australia,2005,24-Sep-05,12h05,Unprovoked,"T. Peake, GSAF"
2005.09.27.R,Tiger Shark,"no injury, knocked off board",N,Y,Male,28,Surfing,Australia,New South Wales,2005,Reported      27-Sep-2005,NA,Unprovoked,"Macleay Argues, 9/27/2005"
2005.10.01,White Shark,"no injury, shark bit ski",N,Y,Male,52,Surf-Skiing,South Africa,Western Cape Province,2005,01-Oct-05,15h00,Unprovoked,"Cape Argus, Cape Times, 10/3/2005"
2005.10.11,Caribbean Reef Shark,no injury ,N,Y,Female,57,Scuba Diving,Grand Cayman,East Wall,2005,11-Oct-05,15h00,Unprovoked,"L.A.Hughes; G. Holt, Scubaradio.com"
2005.10.13,Tiger Shark,"no injury, surfboard bitten",N,Y,Male,22,Surfing,USA,Hawaii,2005,13-Oct-05,18h00,Unprovoked,Hawaii Department of Land and Natural Resources
2005.10.19,White Shark,leg bitten,N,Y,Female,20,Surfing,USA,California,2005,19-Oct-05,10h30,Unprovoked,"R. Collier, GSAF; Bay City Newswire"
2005.10.21,White Shark,no injury,N,Y,Male,36,Surfing,USA,California,2005,21-Oct-05,11h00,Unprovoked,"R. Collier, GSAF"
2005.11.02.a,White Shark,"no injury, board bumped",N,Y,Male,26,Surfing,USA,California,2005,02-Nov-05,07h15,Unprovoked,"R. Collier, GSAF"
2005.11.15,Raggedtooth Shark,lacerations to hands and right leg when he tried to pull shark from the water provoked incident,N,N,Male,32,Fishing For Sharks,South Africa,Eastern Cape Province,2005,15-Nov-05,14h00,Provoked,J. Visser
2005.11.16.R,White Shark,"no injury to occupants, shark lifted bow of boat 3 times",N,Y,NA,NA,Na,New Caledonia,Na,2005,Reported  16-Nov-2005,NA,Boat,"Le Quotidien, 11/16/2005, p.62"
2005.11.25.c,White Shark,"no injury to occupant, shark bit outboard motor",N,Y,NA,NA,Fishing,Australia,Victoria,2005,25-Nov-05,NA,Boat,"Sunday Mail (QLD), 11/27/2005, p.30"
2005.12.05.R,White Shark,"no injury to occupants, hydrofoil of outboard motor bitten ",N,Y,NA,NA,Fishing,Australia,South Australia,2005,Reported 06-Dec-2005,15h30,Boat,"Melbourne Herald Sun, 12/5/2005"
2005.12.11,White Shark,right forearm and elbow bitten,N,Y,Male,44,Spearfishing,Australia,Queensland,2005,11-Dec-05,11h00,Unprovoked,"Courier-Mail, 12/12/2005"
2005.12.21,Tiger Shark,left hand bitten,N,Y,Male,29,Swimming,USA,Hawaii,2005,21-Dec-05,11h45,Unprovoked, San Francisco Gate 2/21/2005
2005.12.24,White Shark,lacerations to ankle and calf,N,Y,Male,30,Surfing,USA,Oregon,2005,24-Dec-05,12h00,Unprovoked,"R. Collier, GSAF; L.A. Times, 12/25/2005"
2006.01.07,Bull Shark,fatal,Y,Y,Female,21,Swimming,Australia,Queensland,2006,07-Jan-06,17h15,Unprovoked,"T. Peake, GSAF"
2006.01.15,White Shark,lacerations to left elbow,N,Y,Male,52,Scuba Diving,Australia,Western Australia,2006,15-Jan-06,11h00,Unprovoked,"T. Peake, GSAF"
2006.02.01.b,Tiger Shark,severe bite to right leg fatal,Y,Y,Female,24,Swimming,Tonga,Vava'U,2006,01-Feb-06,18h00,Unprovoked,D. Clem; www.matangitonga.to
2006.02.08,Raggedtooth Shark,2 bite marks on right calf,N,Y,Male,15,Surfing,South Africa,Eastern Cape Province,2006,08-Feb-06,Late afternoon,Unprovoked,"M. Kabeli, Dispatch Online.com; G. Brett & K. Cole, EL Museum"
2006.02.12.a,White Shark,no injury to occupants; shark nudged the 5.3 m boat,N,Y,Male,NA,Fishing,Australia,South Australia,2006,12-Feb-06,12h00,Boat,Port Adelaide Football Club
2006.03.15,Bronze Whaler Shark,"no injury, shark nudged surfboard",N,Y,Male,15,Surfing,Australia,New South Wales,2006,15-Mar-06,17h00,Unprovoked,"The Australian, 3/15/2006"
2006.03.19,Tiger Shark,lacerations to right hand,N,Y,Male,21,Surfing,Fiji,Vitu Levu,2006,18-Mar-06,18h00,Unprovoked,"R.D. Weeks, GSAF; Fiji Sun, 3/19/2006"
2006.03.23,Tiger Shark,5 puncture wounds in left calf,N,Y,Female,28,Surfing,USA,Hawaii,2006,23-Mar-06,11h30,Unprovoked,Honolulu Advertiser
2006.04.09.a,Tiger Shark,left leg bitten,N,Y,Male,35,Swimming,Brazil,Pernambuco,2006,09-Apr-06,Afternoon,Unprovoked,"Diario de Pernambuco, 4/10/2006"
2006.04.09.b,Raggedtooth Shark,leg bitten,N,Y,Male,15,Body Boarding,South Africa,Eastern Cape Province,2006,09-Apr-06,17h30,Unprovoked,J. Visser
2006.04.11,Bronze Whaler Shark,minor laceration to left foot,N,Y,Male,15,Surfing,Australia,New South Wales,2006,11-Apr-06,13h30,Unprovoked,"Daily Telegraph, 4/12/2006"
2006.04.13,Bull Shark,3 to 4 cm laceration on foot from hooked shark brought on board provoked incident,N,N,Male,35,Fishing,USA,Florida,2006,13-Apr-06,Afternoon,Provoked,"Naples News, 4/13/2006"
2006.05.19,Tiger Shark,laceration to leg,N,Y,Female,NA,Scuba Diving,USA,Guam,2006,19-May-06,15h30,Unprovoked,R. Segal
2006.05.24,Grey Shark,knee bitten after diver poked shark provoked incident,N,N,Male,15,Spearfishing,USA,Hawaii,2006,24-May-06,16h30,Provoked,"Maui News, 5/26/2006"
2006.05.28,Tiger Shark,"no injury to occupants, boat damaged by hooked shark provoked incident",N,N,NA,NA,Tagging Sharks,USA,Hawaii,2006,28-May-06,Afternoon,Provoked,"Honolulu Advertiser, 5/29/2006"
2006.05.31,Tiger Shark,"4"" laceration to left forearm",N,Y,Male,26,Spearfishing,USA,Hawaii,2006,31-May-06,13h30,Unprovoked,"P. Immerz; Honolulu Advertiser, 6/1/2006"
2006.06.05,White Shark,"no injury, knocked off surfboard",N,Y,Male,40,Surfing,Australia,South Australia,2006,05-Jun-06,11h30,Unprovoked,"P.Kemp, GSAF; Sunday Mail (Adelaide), 6/11/2006, p.17"
2006.06.20,Blacktip Shark,2-inch puncture wounds on right foot,N,Y,Female,22,Surfing,USA,Florida,2006,20-Jun-06,13h00,Unprovoked," S. Petersohn, GSAF; P. Immerz"
2006.06.30.a,Blacktip Shark,minor injuries,N,Y,Male,35,Spearfishing,USA,Florida,2006,Jul-06,NA,Unprovoked,"Swimming World Magazine, 2 July 2006"
2006.06.30.b,Blacktip Shark,lacerations and puncture wound  to arm,N,Y,Female,28,Spearfishing,USA,Florida,2006,Jul-06,NA,Unprovoked,"Swimming World Magazine, 2 July 2006"
2006.07.08.b,Bull Shark,foot bitten,N,Y,Female,14,Body Boarding,USA,South Carolina,2006,08-Jul-06,11h00,Unprovoked,"C. Creswell, GSAF"
2006.07.10,Tiger Shark,fatal,Y,Y,Male,NA,Na,Brazil,Pernambuco,2006,10-Jul-06,NA,Unprovoked,"Qualittas; F. Hazin; N. Souza; Folho de Pernambuco, 7/12/2006"
2006.07.23,Bull Shark,right foot bitten,N,Y,Male,NA,Surf Fishing,USA,Texas,2006,23-Jul-06,NA,Unprovoked,KHOU.com
2006.07.28,White Shark,"no injury, surf ski bitten",N,Y,Male,19,Surf-Skiing,South Africa,Western Cape Province,2006,28-Jul-06,16h30,Unprovoked,"Cape Argus, 7/29/2006"
2006.07.31.a,White Shark,minor injury,N,Y,Male,41,Surfing,USA,Oregon,2006,31-Jul-06,16h00,Unprovoked,"R. Collier, GSAF"
2006.08.00.a,Bull Shark,thigh bitten,N,Y,Male,NA,Spearfishing,Reunion,Na,2006,Early Aug-2006,NA,Unprovoked,"Clicanoo, 8/29/2006"
2006.08.13,White Shark,foot severed,N,Y,Male,24,Lifesaving Drill,South Africa,Western Cape Province,2006,13-Aug-06,11h00,Unprovoked,P. Immerz 
2006.08.29.a,Bronze Whaler Shark,"no injury, shark towed  surfer and board",N,Y,Male,NA,Surfing,Australia,South Australia,2006,29-Aug-06,16h00,Unprovoked,"P. Kemp, GSAF; S. Black, The Islander, 9/7/2006"
2006.09.02,White Shark,"no injury, shark rammed surfboard",N,Y,Male,37,Surfing,South Africa,Western Cape Province,2006,02-Sep-06,NA,Unprovoked,"Cape Times, 9/3/2006"
2006.09.18.R,Nurse Shark,lacerations to upper lip    provoked incident,N,N,Male,NA,Diving / Kissing The Shark,USA,Florida,2006,Reported 18-Sep-2006,NA,Provoked,"CBS-4, 9/18/2006"
2006.10.31,White Shark,"no injury, surfboard bitten",N,Y,Male,22,Surfing,USA,Oregon,2006,31-Oct-06,Just before sundown,Unprovoked,R. Collier
2006.11.09,Bull Shark,left arm lacerated when he grabbed shark by its tail provoked incident,N,N,Male,NA,Canoeing,South Africa,Eastern Cape Province,2006,09-Nov-06,Afternoon,Provoked,"P. Immerz, SharkProject"
2006.12.02,White Shark,"right leg severed, left leg lacerated",N,Y,Male,15,Body Boarding,Australia,Western Australia,2006,02-Dec-06,07h30,Unprovoked,"P. Kemp, GSAF, Sunday Mail, 12/3/2006"
2006.12.06,Raggedtooth Shark,"hand, thigh and calf bitten by hooked shark provoked incident",N,N,Male,25,Fishing,South Africa,Kwazulu-Natal,2006,06-Dec-06,"""Evening""",Provoked,"C. Johansson; Pretoria News, 12/8/2006"
2006.12.10,White Shark,"minor injuries, surfboard bitten",N,Y,Male,43,Surfing,USA,California,2006,10-Dec-06,11h50,Unprovoked,"P. Immerz; R. Collier; San Francisco Chronicle, 12/11/2006 "
2007.01.05,Tiger Shark,"no injury, shark removed piece of surfboard",N,Y,Male,24,Surfing,USA,Hawaii,2007,01-Jan-07,10h15,Unprovoked,"P. Immerz, SharkProject.org; J. TenBruggencate, Honolulu Advertiser, 1/5/2007"
2007.01.14,Tiger Shark,"presumed fatal, body not recovered",Y,Y,Male,24,Swimming / Body Surfing,South Africa,Eastern Cape Province,2007,14-Jan-07,Afternoon,Unprovoked,"G. Cliff, Natal Sharks Board; East London Dispatch, 1/18/2007"
2007.01.23,White Shark,head and torso bitten,N,Y,Male,41,Diving,Australia,New South Wales,2007,23-Jan-07,10h30,Unprovoked,"NZ Herald, 1/23/2007"
2007.01.25.b,Tiger Shark,leg bitten,N,Y,Male,30,Spearfishing (Free Diving),New Caledonia,North Province,2007,25-Jan-07,14h00,Unprovoked,"Les Nouvelles Caledoniennes, 1/29/2007"
2007.03.05.R,Tiger Shark,leg bitten  by shark after he shot at it and missed  provoked incident,N,N,Male,16,Spearfishing,New Zealand,Cook Islans,2007,Reported 05-Mar-2007,NA,Provoked,"R. Weeks, GSAF"
2007.04.09,Tiger Shark,left foot bitten,N,Y,Male,26,Surfing,New Caledonia,South Province,2007,09-Apr-07,16h00,Unprovoked,"Les Nouvelles Calédoniennes, 4/11/2007"
2007.04.13.R,Bull Shark,"no injury to occupants, shark holed the transom-mounted livewell ",N,Y,NA,NA,Fishing,USA,Florida,2007,Reported      13-Apr-2007,NA,Boat,"Florida Today, 4/13/2007; A. Brenneka"
2007.04.22,Blacktip Shark,left foot bitten,N,Y,Male,12,Body Boarding,USA,Florida,2007,22-Apr-07,12h30,Unprovoked,"Sun-Sentinel, 4/23/2007"
2007.05.00,Lemon Shark,lacerations to right upper arm by captive shark provoked incident,N,N,Female,20,Shark Tagging,Bahamas,Bimini Islands,2007,May-07,NA,Provoked,S. Garcia
2007.05.07.b,Tiger Shark,right foot bitten,N,Y,Female,63,Snorkeling,USA,Hawaii,2007,07-May-07,08h30,Unprovoked,"G. Kubota, Honolulu Star Bulletin, 5/8/2007"
2007.05.09.R,White Shark,no injury,N,Y,Male,NA,Snorkeling,Seychelles,Bird Island,2007,Reported 09-May-2007,NA,Unprovoked,Seychelles Forum
2007.05.24,Blacktip Shark,left shin bitten by captive shark provoked incident,N,N,Female,40,Reviving A Sedated Shark,USA,Virginia,2007,24-May-07,Morning,Provoked,WAVY-TV10-News
2007.06.24,Tiger Shark,"no injury, board damaged",N,Y,Male,NA,Surfing,USA,Hawaii,2007,24-Jun-07,07h05,Unprovoked,"G. Lee, KGMB9.com"
2007.06.30.b,Lemon Shark,lacerations to right  hand by hooked shark provoked incident,N,N,Male,NA,Removing Hook From Shark,USA,Florida,2007,30-Jun-07,NA,Provoked,S. Gruber; SharkAttackSurvivors.com
2007.07.10,Bull Shark,"lacerations to thumb, ring and pinky fingers of right hand ",N,Y,Female,48,Spearfishing,Bahamas,Abaco Islands,2007,10-Jul-07,11h00,Unprovoked,J. Regan
2007.07.19.a,Bronze Whaler Shark,calf bitten,N,Y,Male,15,Wading,Australia,Territory Of Cocos (Keeling) Islands,2007,19-Jul-2007.a,11h00,Unprovoked,"The Western Australian, 7/20/2007"
2007.07.21,White Shark,"no injury, kayak bitten",N,Y,Male,NA,Kayak Fishing,USA,California,2007,21-Jul-07,10h15,Boat,"R. Collier; San Francisco Chronicle, 7/23/2007; NorCal Kayak Anglers"
2007.07.22,White Shark,"no injury, surfboard bumped by shark for 20 minutes",N,Y,Male,NA,Surf Paddling,USA,California,2007,22-Jul-07,NA,Unprovoked,R. Collier
2007.08.07,Bull Shark,lacerations to arm,N,Y,Female,19,Jumped Into The Water,USA,Florida,2007,07-Aug-07,Afternoon,Unprovoked,"Miami Herald, 8/8/2007"
2007.08.15,Bull Shark,puncture wounds to torso,N,Y,Male,20,Floating Near Boat And Observing Bioluminesce,USA,Florida,2007,15-Aug-07,Night,Unprovoked,"Charlotte Observer, 8/18/2007"
2007.08.20,Tiger Shark,forearm bitten by hooked shark provoked incident,N,N,Male,NA,Fishing,USA,Delaware,2007,20-Aug-07,19h45,Provoked,"Delaware Coast Press, 8/24/2007"
2007.08.28.a,White Shark,lacerations to thigh and torso,N,Y,Male,24,Surfing,USA,California,2007,28-Aug-07,10h45,Unprovoked,R. Collier
2007.08.28.b,Tiger Shark,laceration to right heel,N,Y,Male,15,Body Boarding,USA,Hawaii,2007,28-Aug-07,16h30,Unprovoked,"Honolulu Advertiser, 8/29/2007"
2007.09.13,Nurse Shark,"minor injury, shark latched onto his abdomen",N,Y,Male,14,Snorkeling,USA,Florida,2007,13-Sep-07,16h00,Unprovoked,"Miami Herald, 9/13/2007; Sun-Sentinel, 9/14/2007"
2007.09.27.a,White Shark,"severe lacerations to lower left leg, ankle and foot",N,Y,Female,NA,Swimming,Egypt,Red Sea,2007,27-Sep-07,07h00,Unprovoked,"E. Ritter & Y. Sobolev, GSAF; M. Salem "
2007.09.27.b,White Shark,"no injury to surfer, surfboard bitten",N,Y,Female,NA,Surfing,USA,California,2007,27-Sep-07,08h15,Unprovoked,R. Collier
2007.09.28,Caribbean Reef Shark,thigh bitten,N,Y,Female,48,Spearfishing,Bahamas,Grand Bahama Island,2007,28-Sep-07,12h00,Unprovoked,"A. Brenneka, SharkAttackSurvivors.com"
2007.09.30.a,Tiger Shark,fatal,Y,Y,Female,23,Swimming,New Caledonia,Loyalty Islands,2007,30-Sep-07,Early morning,Unprovoked,"Les Nouvelles Caledoniennes, 10/1/2007 "
2007.10.06,Blacktip Shark,severe lacerations to right hand,N,Y,Male,16,Surfing,USA,Florida,2007,06-Oct-07,08h10,Unprovoked,E. H.
2007.10.13,Bronze Whaler Shark,laceration to calf,N,Y,Male,31,Spearfishing,Australia,Queensland,2007,13-Oct-07,12h00,Unprovoked,"news.com.au, 10/14/2007"
2007.10.15,White Shark,small laceration to wrist,N,Y,Female,52,Surf-Skiing,Australia,New South Wales,2007,15-Oct-07,11h30,Unprovoked,"Sydney Morning Herald, 10/15/2007"
2007.10.29,Tiger Shark,lacerations to left lower leg,N,Y,Male,32,Floating,USA,Hawaii,2007,29-Oct-07,15h30,Unprovoked,KHNL8.com
2007.11.03,White Shark,lacerations to thigh,N,Y,Male,37,Surfing,South Africa,Eastern Cape Province,2007,03-Nov-07,08h45,Unprovoked,Daily Dispatch
2007.12.10,Tiger Shark,"no injury, shark bit surfboard ",N,Y,Male,52,Surfing,USA,Hawaii,2007,10-Dec-07,"""Just before 11h00""",Unprovoked,"Honolulu Advertiser, 12/12/2007"
2008.00.00.a,Hammerhead Shark,leg bitten,N,Y,Male,26,Surfing,Mexico,Baja California,2008,Summer-2008,NA,Unprovoked,"San Diego Reader, 1/7/2009"
2008.00.00.b,Nurse Shark,minor injury to hand by hooked shark   provoked incident,N,N,Male,NA,Fishing For Snapper,USA,Florida,2008,Fall 2008,NA,Provoked,Extremecoast.com/ 1/30/2009
2008.01.14,Bronze Whaler Shark,"no injury to occupants, pontoon punctured",N,Y,NA,NA,Attempting To Chase Shark Out To Sea,New Zealand,North Island,2008,14-Jan-08,14h00,Boat,"TV3; R.D. Weeks, GSAF"
2008.01.29,Blacktip Shark,"no injury to surf-skiier, shark holed ski",N,Y,Male,42,Surf-Skiing,South Africa,Kwazulu-Natal,2008,29-Jan-08,NA,Unprovoked,"The Mercury, 2/1/2008"
2008.02.24,Bull Shark,"leg bitten, fatal",Y,Y,Male,49,Diving,Bahamas,Northern Bahamas,2008,24-Feb-08,10h00,Unprovoked,"Sun-Sentinel, 2/25/2008"
2008.03.07,White Shark,"no injury to surfer, surfboard bitten by the shark",N,Y,Male,27,Surfing,USA,California,2008,07-Mar-08,08h00,Unprovoked,R. Collier
2008.04.08,Bull Shark,fatal,Y,Y,Male,16,Body Boarding,Australia,New South Wales,2008,08-Apr-08,08h05,Unprovoked,"T. Peake, GSAF; NSW Police Force"
2008.04.20.a,Tiger Shark,na,UNKNOWN,Y,Male,NA,Na,Australia,New South Wales,2008,20-Apr-08,NA,Unprovoked,"T. Peake, GSAF"
