,Case Number,Type,Country,Area,Activity,Sex ,Injury,Fatal (Y/N/U),Time,Species 
265,2016.06.07,Invalid,USA,South Carolina,Surfing,M,"No injury, board damaged",U,11h30,Said to involve an 8' shark but more likely damage caused by debris
266,2016.06.05.b,Unprovoked,USA,Florida,Swimming,M,Leg bitten,N,08h30,
267,2016.06.05.a,Unprovoked,AUSTRALIA,Western Australia,Diving,F,FATAL,Y,11h30,3+ m shark
268,2016.06.04,Unprovoked,EGYPT,Suez,Swimming,M,"Leg severely bitten, surgically amputated",N,Morning,Mako shark
269,2016.06.02.b,Unprovoked,AUSTRALIA,New South Wales,Spearfishing,M,"No injury, but sharks repeatedly hit their fins and guns",U,,Bronze whaler sharks x 3
270,2016.06.02.a,Unprovoked,NEW CALEDONIA,,Kite surfing,M,Laceration to heel,N,Afternoon,3 m shark
271,2016.05.31,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,FATAL,Y,16h00,White shark
272,2016.05.29.b,Unprovoked,USA,California,Swimming,F,Injuries to arm and shoulder,N,16h00,
273,2016.05.29.a,Unprovoked,USA,Florida,Swimming,M,Injury to posterior right leg,N,15h45,5' shark
274,2016.05.22,Unprovoked,USA,Florida,Swimming,F,Puncture wounds to thigh,N,12h00,
275,2016.05.21.b,Unprovoked,USA,Florida,Swimming,F,Lacerations and puncture wounds to foot and ankle,N,18h00,"Bull shark, 4' to 5'"
276,2016.05.21.a,Unprovoked,USA,Florida,Swimming,F,"Back, arm & hand injured",N,17h46,
277,2016.05.18,Unprovoked,USA,Florida,Swimming,M,Ankle bitten,N,Morning ,"Blacktip shark, 4'"
278,2016.05.15,Provoked,USA,Florida,Teasing a shark,F,Arm grabbed PROVOKED INCIDENT,N,13h20,"Nurse shark, 2'"
279,2016.05.03,Unprovoked,USA,Hawaii,Floating,M,Minor lacerations to right shoulder,N,15h49,
280,2016.05.02,Provoked,NEW ZEALAND,North Island,Fishing,M,Foot bitten by landed shark PROVOKED INCIDENT,N,Afternoon,"Mako shark, 1.5 m [5'] "
281,2016.04.25,Unprovoked,INDONESIA,Bali,Surfing,M,Elbow bitten,N,07h00,"Bull shark, 6'"
282,2016.04.23,Unprovoked,USA,Florida,Surfing,M,Minor injury to left foot,N,17h30,
283,2016.04.22,Unprovoked,SOUTH AFRICA,Western Cape Province,Surf-skiing,M,"No injury, surf-ski bitten",N,08h00,White shark
284,2016.04.19,Unprovoked,AUSTRALIA,New South Wales,Swimming,M,Minor puncture wound to foot,N,12h00,Wobbegong shark
285,2016.04.18.b,Provoked,FRENCH POLYNESIA,Tuamotos,Spearfishing,M,Laceration to knee by speared shark PROVOKED INCIDENT,N,Morning,"Grey reef shark, 2 m"
286,2016.04.18.a,Provoked,FRENCH POLYNESIA,Tuamotos,Spearfishing,M,"Severe lacerations to right forearm, hand and calf from speared shark PROVOKED INCIDENT",N,Morning,"Grey reef shark, 2 m"
287,2016.04.13,Unprovoked,USA,Florida,Spearfishing,M,Multiple bites to right arm,N,,"Bull shark, 7'"
288,2016.04.09,Unprovoked,NEW CALEDONIA,Grand Terre,Walking,F,FATAL,Y,10h45,"Tiger shark, 2.5 m"
289,2016.04.08,Invalid,CAPE VERDE,Boa Vista Island,,M,"""Serious""",U,,Shark involvement not confirmed
290,2016.04.07.b,Unprovoked,USA,Florida,Fishing,M,Left hand bitten,N,,5' to 6' shark
291,2016.04.07.a,Invalid,USA,Florida,SUP,M,Fell off board when spinner shark leapt from the water next to him. No injury to surfer,U,,
292,2016.03.31,Unprovoked,USA,Hawaii,Snorkeling,F,Minor injury to left foot,N,11h00,
293,2016.03.30,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Severe injury to thigh,N,19h00,
294,2016.03.28.b,Unprovoked,USA,Florida,,M,Minor injury to arm. Possibly caused by smalll nurse shark,U,,Shark involvement not confirmed
295,2016.03.28.a,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,"No injury, board dented",N,11h00,
296,2016.03.26,Provoked,BAHAMAS,,,M,Minor injury to chest PROVOKED INCIDENT,N,,"Nurse shark, 2.5-ft"
297,2016.03.13,Invalid,USA,California,Surfing,,Board reportedly bumped by shark. No injury,U,Morning,Shark involvement not confirmed
298,2016.03.11,Unprovoked,USA,Florida,Body surfing,M,Lacerations to right foot and ankle,N,13h30,
299,2016.03.10,Unprovoked,FIJI,Vanua Levu,Diving for beche-de-mer,M,FATAL,Y,Afternoon,
300,2016.03.04,Unprovoked,USA,Florida,,M,Superficial injury to foot,N,Afternoon,
301,2016.03.03.R,Unprovoked,AUSTRALIA,South Australia,Fishing,M,Puncture wounds to right calf,N,Midnight,Bronze whaler
302,2016.03.02,Unprovoked,BRAZIL,Santa Catarina State,Swimming,M,Minor injury to head,N,,Sandtiger shark
303,2016.02.22,Unprovoked,NEW CALEDONIA,South Province,Kite surfing,M,Puncture wounds to right thigh,N,19h00,
304,2016.02.19,Unprovoked,NEW CALEDONIA,South Province,Spearfishing,M,Forearm bitten,N,16h00,
305,2016.02.12,Unprovoked,DOMINICAN REPUBLIC,Altagracia Province,Wading,F,Avulsion injury to lower leg,N,15h00,
306,2016.02.10.R,Invalid,CAYMAN ISLANDS,Grand Cayman,Feeding stingrays?,M,Minor injury to wrist from Southern stingray,U,,No shark involvement
307,2016.02.10,Invalid,AUSTRALIA,Tasmania,Surfing,M,"No injury, knocked off board",U,12h30,No shark involvement
308,2016.02.05,Unprovoked,AUSTRALIA,Queensland,Walking,F,Foot nipped,N,13h20,
309,2016.02.04,Unprovoked,AUSTRALIA,New South Wales,Windsurfing,M,"No injury, shark bit board",N,Late afternoon,
310,2016.02.02,Unprovoked,BRAZIL,Balneário Camboriú,Swimming,M,Lacerations to scalp,N,,Sandtiger shark
311,2016.01.29,Boating,SOUTH AFRICA,KwaZulu-Natal,Kayak fishing,M,"No injury, shark capsized kayak",N,,
312,2016.01.28,Unprovoked,USA,Hawaii,Surfing,M,Lacerations to both hands,N,14h00,"Reef shark, 5'"
313,2016.01.25,Unprovoked,USA,Hawaii,Surfing,F,No injury,N,11h30,
314,2016.01.24.b,Unprovoked,USA,Texas,Spearfishing,M,"Bruised ribs & tail bone, speargun broken and wetsuit cut",N,09h30 / 10h00,Bull sharks x 2
315,2016.01.24.a,Boating,UNITED ARAB EMIRATES,Fujairah Emirate,Fishing,M,"No injury to occupants, shark leapt into boat",N,,Mako shark
316,2016.01.23,Unprovoked,USA,Hawaii,Paddle boarding,M,No injury,N,Morning,"Tiger shark, 14'"
317,2016.01.11.R,Unprovoked,AUSTRALIA,Queensland,Surfing,M,Laceration to right foot,N,,Wobbegong shark
318,2016.01.05,Unprovoked,AUSTRALIA,Queensland,Wading,M,Laceration to right calf,N,Afternoon,Blacktip shark
319,2016.01.02,Unprovoked,AUSTRALIA,Queensland,Spearfishing,M,Lacerations to arms & leg,N,11h30,3 m shark
320,2015.12.26,Boating,SOUTH AFRICA,KwaZulu-Natal,Kayak Fishing,M,"No injury, kayak damaged",N,Morning,"White shark, 3 m"
321,2015.12.25,Unprovoked,SPAIN,Grand Canary Island,Swimming,F,Lacerations to left forearm,N,,"Silky shark, 6.5'"
322,2015.12.22,Unprovoked,USA,Hawaii,Paddle boarding,M,"No injury, shark bit board",N,Morning,9' shark
323,2015.12.21.b,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,"No injury, shark leapt on surfboard",N,07h00,"Bronze whaler shark, 6'"
324,2015.12.21.a,Unprovoked,BRAZIL,Pernambuco,Scuba diving,M,Right hand & part of forearm removed,N,,"Tiger shark, 1.5 m "
325,2015.12.19,Unprovoked,ARUBA,,Sea disaster,M,FATAL,Y,,
326,2015.12.13,Boating,AUSTRALIA,New South Wales,Fishing,,"No injury, shark rammed boat & bit motor",N,10h30,"White shark, 3.5 m"
327,2015.12.11,Unprovoked,BAHAMAS,,Lobster fishing,M,"Bitten on thigh, abdomen & hand",N,,Bull shark
328,2015.12.08,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Swimming / Wading,F,Lacerations to both hands and forearms,N,Morning,
329,2015.11.20,Unprovoked,ECUADOR,Galapagos Islands,Snorkeling,M,Lacerations to left calf,N,10h15,Galapagos shark
330,2015.11.16,Unprovoked,USA,Florida,Surfing,M,Right heel injured,N,Afternoon,
331,2015.11.15.b,Unprovoked,USA,Florida,Swimming,F,Leg injured,N,11h00,
332,2015.11.15.a,Unprovoked,USA,Florida,Surfing,M,Lacerations to hand,N,,"Spinner shark, 7'"
333,2015.11.10,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Injury to left thigh,N,18h15,"Bull shark, 2.8 to 3.1 m"
334,2015.12.23,Invalid,USA,Florida,Surfing,F,Lower left leg injured,U,11h00,Shark involvement not confirmed
335,2015.11.03,Unprovoked,USA,Hawaii,Swimming,M,Laceration to right ankle,N,11h00,
336,2015.11.01.b,Unprovoked,USA,Florida,Wading,F,Injury to right ankle/calf & hand,N,14h00,3' to 5' shark
337,2015.11.01.a,Unprovoked,MOZAMBIQUE,Inhambane Province,Fishing,M,"Arms severely injured, surgically amputated",N,04h00,
338,2015.10.30,Unprovoked,AUSTRALIA,Western Australia,Spearfishing,M,Minor injury,N,,
339,2015.10.28.a,Unprovoked,USA,Hawaii,Body boarding,M,"Lacerations & puncture wounds to right thigh, calf & ankle",N,14h50,
340,2015.10.25,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,"Lacerations to right calf, knee & hip",N,15h00,"White shark, 3 to 3.5m "
341,2015.10.21,Unprovoked,USA,Florida,Surfing,M,Lacerations to left hand,N,14h30,5' shark
342,2015.10.19,Unprovoked,USA,Florida,Surfing,M,Left foot bitten,N,13h50,"Spinner shark, 5'"
343,2015.10.17.c,Unprovoked,MOZAMBIQUE,Inhambane Province,Fishing for shrimp,F,FATAL,Y,,
344,2015.10.17.b,Invalid,USA,Hawaii,Surfing,M,Left foot bitten by eel,U,19h20,No shark involvement
345,2015.10.17.a,Unprovoked,USA,Hawaii,Swimming,M,Severe injuries to lower legs. Foot later surgically amputated.,N,11h30,"Tiger shark, 7'"
346,2015.10.13,Boating,USA,California,Kayak Fishing,M,"No injury, shark rammed kayak repeatedly",N,11h00,Hammerhead sp.
347,2015.10.09.b,Unprovoked,USA,South Carolina,Boogie boarding,F,Laceration to forearm,N,16h20,
348,2015.10.09.a,Unprovoked,USA,Hawaii,Surfing,M,"Left leg severed below the knee, defense injuries to left hand",N,10h25,"Tiger shark, 13' "
349,2015.10.08,Unprovoked,MOZAMBIQUE,Inhambane Province,Fishing,M,"Arm severely injured, surgically amputated",N,,
350,2015.10.07,Unprovoked,AUSTRALIA,Western Australia,Surfing,M,Foot injured,N,16h50,
351,2015.10.05.b,Unprovoked,USA,Florida,Body boarding,M,2 lacerations to ankle,N,13h00,
352,2015.10.05.a,Unprovoked,USA,Texas,Wading,M,Foot & hands bitten,N,10h00,4' to 5' shark
353,2015.10.04,Unprovoked,USA,Florida,Surfing,M,Severe lacerations to left hand,N,08h30,"Blacktip shark, 4' to 5'"
354,2015.09.29,Unprovoked,USA,Florida,Surfing,M,"Laceration to heel, puncture wounds to dorsum of foot",N,16h20,"Blacktip shark, 5' to 6'"
355,2015.09.26,Unprovoked,AUSTRALIA,Queensland,Snorkeling,F,Laceration to leg,N,Afternoon,
356,2015.09.24,Boating,USA,California,Kayak fishing,M,"No injury, kayak damaged",N,10h45-11h15,"White shark, 19'"
357,2015.09.20.d,Unprovoked,USA,Florida,Surfing,M,Minor injury to left ankle,N,16h45,juvenile shark
358,2015.09.20.c,Unprovoked,USA,Hawaii,Spearfishing,M,Severe laceration to left leg,N,15h52,"Tiger shark, 13'"
359,2015.09.20.b,Unprovoked,USA,Florida,Wading,M,Significant injuries to leg,N,12h30,4' shark
360,2015.09.20.a,Unprovoked,USA,Florida,Photographing fish,M,Injury to right hand / wrist,N,07h30,
361,2015.09.19,Boating,USA,California,Kayak Fishing,M,No injury,N,,Hammerhead shark
362,2015.09.18,Unprovoked,USA,Florida,Swimming,M,Lacerations to calf,N,19h00,
363,2015.09.17,Unprovoked,USA,Florida,Surfing,M,Injury to right foot,N,15h00,
364,2015.09.08,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Minor laceration to hand,N,06h15,6' shark
365,2015.09.06,Unprovoked,USA,California,Stand-Up Paddleboarding,F,"No injury, shark struck board, tossing her into the sea",N,17h30,"White shark, 11' to 12'"
366,2015.09.05,Provoked,USA,California,Kayak Fishing,M,Laceration to dorsum of foot by hooked shark  PROVOKED INCIDENT,N,14h40,Hammerhead shark.
367,2015.09.04,Unprovoked,AUSTRALIA,New South Wales,Surf-skiing,M,Inuries to lower left leg & ankle,N,11h30,"White shark, 2.5 m"
368,2015.09.03,Unprovoked,USA,South Carolina,,M,Right foot bitten,N,16h00,4' shark?
369,2015.09.01,Unprovoked,THAILAND,Phuket,Wading,F,Left foot & ankle bitten,N,08h30,small shark
370,2015.09.00,Unprovoked,FIJI,,Spearfishing,M,Leg bitten,N,,Tiger shark
371,2015.08.29.b,Unprovoked,USA,California,Surfing,F,"No injury, surfboard bitten",N,10h25,"White shark, 11' to 12'"
372,2015.08.29.a,Unprovoked,USA,California,Surfing,M,"No injury, shark struk sufer's leg and his board",N,10h00,"White shark, 10' to 12' "
373,2015.08.22.b,Invalid,USA,Florida,,M,Wound to right lower leg,U,19h45,Shark involvement not confirmed
374,2015.08.22.a,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Severe laceration to left buttock & thigh,N,17h10,
375,2015.08.20,Unprovoked,USA,South Carolina,Surfing,M,"Injuries to left calf, arm and hand",N,12h30,4' shark
376,2015.08.19,Unprovoked,USA,Florida,Walking,F,Lacerations to right leg,N,15h30,3' shark
377,2015.08.18.b,Boating,USA,California,Kayak Fishing,M,"No injury, kayak bitten",N,07h30,"White shark, 13'"
378,2015.08.18.a,Invalid,SPAIN,Alicante,Swimming,M,Minor injury when he attempted to touch a fish. ,U,11h00,Shark involvement not confirmed
379,2015.08.10,Provoked,USA,California,Spearfishing,M,Right hand bitten  PROVOKED INCIDENT,N,08h00,Hammerhead shark. 6' to 7'
380,2015.07.31,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,"Lacerations and puncture wounds to hip, thigh, arm and hand",N,06h00,White shark
381,2015.07.28,Unprovoked,COSTA RICA,Guanacaste,Surfing,M,Minor inuries to toes,N,,
382,2015.07.27,,AUSTRALIA,Victoria,Surfing,M,Injury to hand,U,,
383,2015.07.26.b,Unprovoked,USA,Florida,Surfing,M,Minor injury to sole of foot,N,19h00,"Blacktip or spinner shark, 4'"
384,2015.07.26.a,Invalid,USA,South Carolina,Floating,F,"2' cut to dorsum of foot, 2 puncture wounds to sole",U,10h10,"Thought to involve a 3' to 4' shark, but shark involvement not confirmed"
385,2015.07.25,Unprovoked,AUSTRALIA,Tasmania,Scallop diving on hookah,M,FATAL,Y,10h00,"White shark, 3.9 to 4.2 m"
386,2015.07.23.b,Provoked,USA,California,Kayak Fishing,M,No injury to occupant. Kayak bitten by gaffed shark. PROVOKED INCIDENT,N,,"Mako shark, 100-lb"
387,2015.07.23.a,Unprovoked,AUSTRALIA,Victoria,Surfing,M,Left hand bitten,N,,"Bronze whaler shark, 1.5m"
388,2015.07.22,Unprovoked,REUNION,,Surfing,M,Arm bitten,N,,"Bull shark, 2m"
389,2015.07.19,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,No injury,N,,White shark
390,2015.07-10,Unprovoked,USA,California,Surfing,M,"No injury, shark bumped & damaged board",N,08h45,"White shark, 7'"
391,2015.07.08,Invalid,USA,California,Treading water,M,Laceration to back,U,,Shark involvement not cofirmed
392,2015.07.06,Invalid,FRENCH POLYNESIA,Bora Bora,Swimming,M,Parallel lacerations to torso inconsistent with shark bite,U,,No shark involvement
393,2015.07.04.b,Unprovoked,BAHAMAS,Grand Bahama Island,Spearfishing,F,Lacerations to lower leg & ankle,N,,6' shark
394,2015.07.04.a,Unprovoked,USA,North Carolina,,M,Lacerations to right hand & forearm,N,Evening,
395,2015.07.03,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,"No injury, shark bit surfboard",N,09h00,White shark
396,2015.07.02,Unprovoked,AUSTRALIA,New South Wales,Body boarding ,M,Significant injuries to lower legs,N,09h00,White shark
397,2015.07.01,Unprovoked,USA,North Carolina,Swimming,M,"Injuries to torso, hip, lower leg & hands",N,12h10,6' to 7' shark
398,2015.06.30.b,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,Hand bitten,N,,
399,2015.06.30.a,Unprovoked,USA,South Carolina,Playing in the water,M,Shallow lacerations & puncture to lateral left leg,N,18h05,4' to 5' shark
400,2015.06.27.b,Unprovoked,USA,North Carolina,Swimming,M,"Injuries to right calf, buttock and both hands",N,16h00,Bull shark
401,2015.06.27.a,Unprovoked,SOUTH AFRICA,Western Cape Province,Body Boarding,M,"Right leg severed, multiple lacerations to left leg",N,14h40,White shark
402,2015.06.26.c,Invalid,USA,Florida,Swimming,F,Minor lacerations to leg,U,19h30,Shark involvement not confirmed
403,2015.06.26.b,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,Multiple lacerations to torso & leg,N,16h00,"White shark, 2m to 3 m"
404,2015.06.26.a,Unprovoked,USA,South Carolina,Standing,M,Puncture wounds to foot,N,11h00,4' shark
405,2015.06.25.R,Provoked,AUSTRALIA,Western Australia,Swimming,M,Minor lacerations to forearm when he grabbed shark by its tail     PROVOKED INCIDENT,N,,Wobbegong shark
406,2015.06.25,Unprovoked,USA,North Carolina,Body surfing?,M,Multiple lacerations to back,N,11h41,
407,2015.06.24.b,Unprovoked,USA,North Carolina,Swimming,M,Minor injury to foot,N,12h25,Sandtiger shark
408,2015.06.24.a,Invalid,AUSTRALIA,Western Australia,Surfing,F,"Bruises and abrasions to face, chin, chest, both shins & feet and cut to right hand when her surfboard was struck with force",N,09h30,White shark
409,2015.06.23,Unprovoked,USA,South Carolina,Standing,M,Minor injury to calf ,N,,small shark
410,2015.06.19,Unprovoked,PUERTO RICO,,Spearfishing,M,Injury to hand,N,Morning,
411,2015.06.17,Unprovoked,USA,Florida,Swimming,M,Minor injury to calf ,N,13h00,
412,2015.06.14.b,Unprovoked,USA,North Carolina,Wading,M,Arm amputated below shoulder,N,17h51,Bull shark
413,2015.06.14.a,Unprovoked,USA,North Carolina,Wading,F,Left arm amputated at elbow & severe injury to leg,N,16h12,Bull shark
414,2015.06.13,Unprovoked,USA,California,,F,Severe laceration to leg,N,,Mako shark
415,2015.06.11,Unprovoked,USA,North Carolina,Boogie boarding,F,Minor lacerations to foot,N,12h45,4' shark
