,Case Number,Type,Country,Area,Activity,Sex ,Injury,Fatal (Y/N/U),Time,Species 
232,2016.08.06,Unprovoked,USA,Hawaii,SUP Foil boarding,M,"No inury, shark & board collided",N,16h30,"Tiger shark, 10' "
233,2016.08.04,Unprovoked,USA,Florida,Surfing,M,Big toe bitten,N,,Blacktip shark
234,2016.07.29,Unprovoked,SPAIN,Alicante Province,Swimming,M,Lacerations to right hand,N,11h30,Blue shark
235,2016.07.28.R,Unprovoked,CHINA,Hong Kong,Swimming,M,Lacerations to leg,N,,
236,2016.07.28,Boating,AUSTRALIA,Western Australia,Kayaking,M,"No injury, shark nudged kayak repeatedly",N,,White shark
237,2016.07.27,Provoked,USA,Florida,Lobstering,M,Laceration to left forearm PROVOKED INCIDENT,N,,"Nurse shark, 4'"
238,2016.07.26,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,"No injury. Leg rope severed, knocked off board by shark",N,12h00,
239,2016.07.24,Unprovoked,JAPAN,Kochi Prefecture,Surfing,M,Lacerations to left leg,N,19h05,
240,2016.07.23.b,Unprovoked,AUSTRALIA,Tasmania,Surfing,M,Calf bumped but no injury,N,,
241,2016.07.23.a,Unprovoked,BAHAMAS,Abaco Islands,Spearfishing,M,Lacerations to face and right leg,N,,"Bull shark, 6'"
242,2016.07.20,Provoked,AUSTRALIA,Queensland,Fishing,M,Laceration to left calf from hooked shark PROVOKED INCIDENT,N,After noon,"reef shark, 1m"
243,2016.07.17,Boating,USA,Alabama,Fishing in Alabama Deep Fishing Rodeo,,"No injury, shark bit trolling motor",N,,"Tiger shark, 10' "
244,2016.07.16.b,Unprovoked,USA,Florida,Surfing,F,Minor injury to leg,N,1300,
245,2016.07.16.a,Unprovoked,USA,Florida,,F,Minor injury to toes,N,11h00,
246,2016.07.15.b,Unprovoked,USA,California,Kite surfing,M,"No injury, board damaged",N,17h00,"White shark, 10' to 12'"
247,2016.07.15.a,Unprovoked,USA,South Carolina,Swimming,M,Puncture wounds to foot,N,,
248,2016.07.14.R,Unprovoked,BAHAMAS,,Scuba Diving,M,Face bruised when partly blind shark collided with him,N,,"Lemon shark, 9'"
249,2016.07.08.R,Unprovoked,SPAIN,Canary Islands,Wading,F,"5 tiny puncture marks to lower leg, treated with hydrogen peroxide",N,,Angel shark
250,2016.07.08,Boating,USA,California,Fishing for squid,M,"No injury. Hull bitten, tooth fragment recovered",N,,White shark
251,2016.07.07.b,Provoked,USA,Massachusetts,Fishing,M,Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,N,10h00,dogfish shark
252,2016.07.07.a,Boating,USA,California,Fishing for sharks,M,"No injury. Hull bitten, tooth fragment recovered",N,,White shark
